"FID_","Month_","Day_","Year_","Longitude","Latitude","Date_","fgadkey","toppid","tagcode","seriesname","tagtype","positiontype","breedingst"
75721,9.000000,27.000000,2012.000000,-61.460000,48.580000,9/27/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75722,9.000000,28.000000,2012.000000,-59.750000,49.250000,9/28/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75723,9.000000,29.000000,2012.000000,-59.330000,49.000000,9/29/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75724,9.000000,30.000000,2012.000000,-58.430000,48.460000,9/30/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75725,10.000000,1.000000,2012.000000,-57.480000,46.750000,10/1/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75726,10.000000,2.000000,2012.000000,-57.990000,45.540000,10/2/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75727,10.000000,3.000000,2012.000000,-57.460000,46.000000,10/3/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75728,10.000000,4.000000,2012.000000,-57.440000,46.170000,10/4/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75729,10.000000,7.000000,2012.000000,-58.280000,44.630000,10/7/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75730,10.000000,9.000000,2012.000000,-57.040000,44.330000,10/9/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75731,10.000000,10.000000,2012.000000,-57.840000,45.040000,10/10/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75732,10.000000,11.000000,2012.000000,-57.330000,46.420000,10/11/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75733,10.000000,13.000000,2012.000000,-58.680000,47.330000,10/13/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75734,10.000000,14.000000,2012.000000,-58.220000,47.540000,10/14/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75735,10.000000,15.000000,2012.000000,-58.510000,45.920000,10/15/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75736,10.000000,17.000000,2012.000000,-59.710000,46.080000,10/17/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75737,10.000000,18.000000,2012.000000,-59.340000,45.460000,10/18/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75738,10.000000,19.000000,2012.000000,-58.270000,44.920000,10/19/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75739,10.000000,20.000000,2012.000000,-58.950000,45.170000,10/20/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75740,10.000000,21.000000,2012.000000,-57.760000,45.960000,10/21/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75741,10.000000,23.000000,2012.000000,-58.260000,44.380000,10/23/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75742,10.000000,24.000000,2012.000000,-57.140000,45.920000,10/24/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75743,10.000000,26.000000,2012.000000,-59.810000,45.130000,10/26/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75744,10.000000,27.000000,2012.000000,-59.480000,44.130000,10/27/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75745,10.000000,28.000000,2012.000000,-58.630000,44.330000,10/28/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75746,10.000000,29.000000,2012.000000,-60.500000,45.130000,10/29/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75747,10.000000,30.000000,2012.000000,-61.910000,44.170000,10/30/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75748,10.000000,31.000000,2012.000000,-60.180000,43.460000,10/31/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75749,11.000000,1.000000,2012.000000,-60.900000,43.790000,11/1/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75750,11.000000,2.000000,2012.000000,-59.870000,44.670000,11/2/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75751,11.000000,3.000000,2012.000000,-61.080000,43.670000,11/3/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75752,11.000000,4.000000,2012.000000,-60.360000,43.630000,11/4/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75753,11.000000,5.000000,2012.000000,-60.650000,45.290000,11/5/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75754,11.000000,6.000000,2012.000000,-60.640000,44.000000,11/6/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75755,11.000000,7.000000,2012.000000,-61.050000,44.920000,11/7/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75756,11.000000,8.000000,2012.000000,-61.570000,43.250000,11/8/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75757,11.000000,9.000000,2012.000000,-60.720000,43.380000,11/9/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75758,11.000000,10.000000,2012.000000,-61.790000,42.880000,11/10/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75759,11.000000,11.000000,2012.000000,-63.230000,42.790000,11/11/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75760,11.000000,12.000000,2012.000000,-64.870000,42.380000,11/12/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75761,11.000000,13.000000,2012.000000,-64.790000,42.580000,11/13/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75762,11.000000,14.000000,2012.000000,-66.530000,42.500000,11/14/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75763,11.000000,15.000000,2012.000000,-67.240000,41.080000,11/15/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75764,11.000000,16.000000,2012.000000,-70.720000,40.000000,11/16/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75765,11.000000,17.000000,2012.000000,-69.640000,39.080000,11/17/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75766,11.000000,18.000000,2012.000000,-69.430000,38.750000,11/18/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75767,11.000000,19.000000,2012.000000,-70.790000,37.250000,11/19/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75768,11.000000,20.000000,2012.000000,-71.760000,37.500000,11/20/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75769,11.000000,21.000000,2012.000000,-72.450000,37.460000,11/21/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75770,11.000000,22.000000,2012.000000,-73.760000,35.800000,11/22/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75771,12.000000,2.000000,2012.000000,-80.010000,23.040000,12/2/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75772,12.000000,11.000000,2012.000000,-82.580000,24.500000,12/11/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75773,12.000000,18.000000,2012.000000,-82.290000,24.500000,12/18/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75774,12.000000,29.000000,2012.000000,-74.650000,27.750000,12/29/2012,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75775,1.000000,1.000000,2013.000000,-75.700000,32.170000,1/1/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75776,1.000000,2.000000,2013.000000,-75.300000,33.130000,1/2/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75777,1.000000,3.000000,2013.000000,-74.660000,32.040000,1/3/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75778,1.000000,5.000000,2013.000000,-73.620000,33.130000,1/5/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75779,1.000000,7.000000,2013.000000,-72.050000,33.540000,1/7/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75780,1.000000,16.000000,2013.000000,-70.120000,36.040000,1/16/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75781,1.000000,17.000000,2013.000000,-69.770000,34.880000,1/17/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75782,1.000000,18.000000,2013.000000,-69.260000,36.540000,1/18/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75783,1.000000,19.000000,2013.000000,-68.660000,36.210000,1/19/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75784,1.000000,20.000000,2013.000000,-68.330000,37.580000,1/20/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75785,1.000000,21.000000,2013.000000,-69.090000,36.630000,1/21/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75786,1.000000,22.000000,2013.000000,-68.670000,37.080000,1/22/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75787,1.000000,24.000000,2013.000000,-67.520000,36.540000,1/24/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75788,1.000000,25.000000,2013.000000,-67.410000,37.400000,1/25/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75789,1.000000,26.000000,2013.000000,-66.720000,37.460000,1/26/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75790,1.000000,27.000000,2013.000000,-66.050000,37.080000,1/27/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75791,1.000000,28.000000,2013.000000,-66.020000,37.080000,1/28/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75792,1.000000,30.000000,2013.000000,-65.530000,37.250000,1/30/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75793,1.000000,31.000000,2013.000000,-66.250000,37.000000,1/31/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75794,2.000000,2.000000,2013.000000,-66.260000,37.500000,2/2/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75795,2.000000,3.000000,2013.000000,-63.250000,37.500000,2/3/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75796,2.000000,6.000000,2013.000000,-65.440000,37.880000,2/6/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75797,2.000000,9.000000,2013.000000,-64.180000,38.040000,2/9/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75798,2.000000,10.000000,2013.000000,-63.780000,38.300000,2/10/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75799,2.000000,17.000000,2013.000000,-59.970000,32.670000,2/17/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75800,2.000000,21.000000,2013.000000,-57.830000,29.380000,2/21/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75801,2.000000,22.000000,2013.000000,-56.710000,29.290000,2/22/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75802,2.000000,25.000000,2013.000000,-55.110000,30.500000,2/25/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75803,2.000000,26.000000,2013.000000,-55.110000,29.670000,2/26/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75804,2.000000,28.000000,2013.000000,-55.900000,29.830000,2/28/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75805,3.000000,1.000000,2013.000000,-56.990000,29.040000,3/1/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75806,3.000000,2.000000,2013.000000,-58.910000,27.540000,3/2/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75807,3.000000,15.000000,2013.000000,-64.070000,29.540000,3/15/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75808,3.000000,20.000000,2013.000000,-67.830000,28.210000,3/20/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75809,3.000000,22.000000,2013.000000,-68.740000,27.250000,3/22/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75810,3.000000,25.000000,2013.000000,-70.770000,27.170000,3/25/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75811,3.000000,26.000000,2013.000000,-70.260000,26.750000,3/26/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75812,3.000000,30.000000,2013.000000,-76.340000,29.670000,3/30/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75813,3.000000,31.000000,2013.000000,-77.680000,30.250000,3/31/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75814,4.000000,3.000000,2013.000000,-82.730000,24.750000,4/3/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75815,4.000000,8.000000,2013.000000,-87.780000,29.380000,4/8/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75816,4.000000,9.000000,2013.000000,-88.000000,27.750000,4/9/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75817,4.000000,10.000000,2013.000000,-90.480000,28.380000,4/10/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75818,4.000000,11.000000,2013.000000,-91.330000,28.250000,4/11/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75819,4.000000,13.000000,2013.000000,-91.390000,28.250000,4/13/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75820,4.000000,14.000000,2013.000000,-90.640000,28.380000,4/14/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75821,4.000000,15.000000,2013.000000,-90.780000,27.630000,4/15/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75822,4.000000,16.000000,2013.000000,-89.130000,27.670000,4/16/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75823,4.000000,17.000000,2013.000000,-88.910000,27.210000,4/17/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75824,4.000000,18.000000,2013.000000,-88.520000,27.380000,4/18/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75825,4.000000,19.000000,2013.000000,-89.350000,27.040000,4/19/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75826,4.000000,22.000000,2013.000000,-89.940000,27.420000,4/22/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75827,4.000000,23.000000,2013.000000,-90.640000,28.210000,4/23/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75828,4.000000,25.000000,2013.000000,-90.000000,28.380000,4/25/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75829,4.000000,26.000000,2013.000000,-90.790000,28.380000,4/26/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75830,4.000000,28.000000,2013.000000,-91.180000,26.420000,4/28/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75831,4.000000,29.000000,2013.000000,-90.570000,28.080000,4/29/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75832,5.000000,1.000000,2013.000000,-91.920000,27.790000,5/1/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75833,5.000000,2.000000,2013.000000,-91.700000,28.000000,5/2/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75834,5.000000,3.000000,2013.000000,-91.600000,27.830000,5/3/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75835,5.000000,4.000000,2013.000000,-91.380000,28.250000,5/4/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75836,5.000000,5.000000,2013.000000,-93.110000,28.040000,5/5/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75837,5.000000,6.000000,2013.000000,-93.840000,28.040000,5/6/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75838,5.000000,7.000000,2013.000000,-93.560000,28.130000,5/7/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75839,5.000000,8.000000,2013.000000,-93.400000,28.080000,5/8/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75840,5.000000,9.000000,2013.000000,-92.910000,28.170000,5/9/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75841,5.000000,10.000000,2013.000000,-92.990000,28.170000,5/10/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75842,5.000000,11.000000,2013.000000,-93.440000,28.080000,5/11/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75843,5.000000,12.000000,2013.000000,-94.050000,28.080000,5/12/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75844,5.000000,13.000000,2013.000000,-93.330000,28.080000,5/13/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75845,5.000000,14.000000,2013.000000,-93.490000,27.960000,5/14/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75846,5.000000,15.000000,2013.000000,-93.620000,28.130000,5/15/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75847,5.000000,16.000000,2013.000000,-93.360000,28.080000,5/16/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75848,5.000000,17.000000,2013.000000,-93.470000,28.040000,5/17/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75849,5.000000,18.000000,2013.000000,-94.090000,28.130000,5/18/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
75850,5.000000,19.000000,2013.000000,-93.010000,27.960000,5/19/2013,511203000,5112030,PAM110P0416,Canada 2012,3,4,1
