"FID_","Month_","Day_","Year_","Longitude","Latitude","Date_","fgadkey","toppid","tagcode","seriesname","tagtype","positiontype","breedingst"
76043,10.000000,11.000000,2012.000000,-61.040000,45.000000,10/11/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76044,10.000000,13.000000,2012.000000,-61.020000,44.750000,10/13/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76045,10.000000,15.000000,2012.000000,-60.670000,43.750000,10/15/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76046,10.000000,16.000000,2012.000000,-61.710000,43.710000,10/16/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76047,10.000000,17.000000,2012.000000,-60.260000,44.000000,10/17/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76048,10.000000,18.000000,2012.000000,-60.740000,43.750000,10/18/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76049,10.000000,19.000000,2012.000000,-60.990000,43.500000,10/19/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76050,10.000000,20.000000,2012.000000,-60.860000,43.500000,10/20/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76051,10.000000,21.000000,2012.000000,-61.360000,43.500000,10/21/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76052,10.000000,22.000000,2012.000000,-61.000000,43.750000,10/22/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76053,10.000000,23.000000,2012.000000,-60.860000,43.880000,10/23/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76054,10.000000,26.000000,2012.000000,-65.610000,42.540000,10/26/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76055,10.000000,27.000000,2012.000000,-65.310000,42.670000,10/27/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76056,10.000000,29.000000,2012.000000,-67.940000,42.250000,10/29/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76057,10.000000,30.000000,2012.000000,-67.490000,42.210000,10/30/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76058,11.000000,1.000000,2012.000000,-68.320000,41.000000,11/1/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76059,11.000000,3.000000,2012.000000,-68.980000,40.500000,11/3/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76060,11.000000,4.000000,2012.000000,-68.970000,40.250000,11/4/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76061,11.000000,6.000000,2012.000000,-68.350000,39.000000,11/6/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76062,11.000000,8.000000,2012.000000,-68.960000,39.250000,11/8/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76063,11.000000,9.000000,2012.000000,-68.560000,39.000000,11/9/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76064,11.000000,10.000000,2012.000000,-69.240000,38.920000,11/10/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76065,11.000000,11.000000,2012.000000,-68.520000,38.750000,11/11/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76066,11.000000,12.000000,2012.000000,-68.320000,38.500000,11/12/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76067,11.000000,13.000000,2012.000000,-69.620000,38.540000,11/13/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76068,11.000000,15.000000,2012.000000,-68.470000,38.250000,11/15/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76069,11.000000,16.000000,2012.000000,-66.500000,38.250000,11/16/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76070,11.000000,17.000000,2012.000000,-67.550000,38.500000,11/17/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76071,11.000000,18.000000,2012.000000,-69.600000,38.250000,11/18/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76072,11.000000,19.000000,2012.000000,-68.470000,38.250000,11/19/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76073,11.000000,21.000000,2012.000000,-68.590000,38.500000,11/21/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76074,11.000000,22.000000,2012.000000,-66.650000,38.250000,11/22/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76075,11.000000,23.000000,2012.000000,-67.730000,38.250000,11/23/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76076,11.000000,24.000000,2012.000000,-66.490000,38.250000,11/24/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76077,12.000000,1.000000,2012.000000,-66.790000,32.000000,12/1/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76078,12.000000,5.000000,2012.000000,-68.600000,29.000000,12/5/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76079,12.000000,8.000000,2012.000000,-68.730000,27.920000,12/8/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76080,12.000000,9.000000,2012.000000,-68.460000,27.960000,12/9/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76081,12.000000,10.000000,2012.000000,-71.830000,27.880000,12/10/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76082,12.000000,13.000000,2012.000000,-72.330000,26.790000,12/13/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76083,12.000000,15.000000,2012.000000,-75.200000,26.000000,12/15/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76084,12.000000,16.000000,2012.000000,-75.090000,25.920000,12/16/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76085,12.000000,20.000000,2012.000000,-76.530000,25.790000,12/20/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76086,12.000000,22.000000,2012.000000,-77.840000,25.130000,12/22/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76087,12.000000,24.000000,2012.000000,-83.410000,25.580000,12/24/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76088,12.000000,25.000000,2012.000000,-83.440000,25.540000,12/25/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76089,12.000000,27.000000,2012.000000,-85.480000,26.630000,12/27/2012,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76090,1.000000,1.000000,2013.000000,-92.610000,24.000000,1/1/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76091,1.000000,2.000000,2013.000000,-92.650000,24.000000,1/2/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76092,1.000000,3.000000,2013.000000,-93.520000,24.000000,1/3/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76093,1.000000,6.000000,2013.000000,-94.580000,24.250000,1/6/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76094,1.000000,7.000000,2013.000000,-93.430000,24.250000,1/7/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76095,1.000000,8.000000,2013.000000,-96.060000,24.000000,1/8/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76096,1.000000,10.000000,2013.000000,-94.980000,24.250000,1/10/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76097,1.000000,11.000000,2013.000000,-95.240000,24.250000,1/11/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76098,1.000000,12.000000,2013.000000,-94.170000,24.250000,1/12/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76099,1.000000,13.000000,2013.000000,-95.360000,24.250000,1/13/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76100,1.000000,14.000000,2013.000000,-93.850000,24.500000,1/14/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76101,1.000000,16.000000,2013.000000,-93.320000,24.500000,1/16/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76102,1.000000,17.000000,2013.000000,-92.620000,24.420000,1/17/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76103,1.000000,18.000000,2013.000000,-94.250000,24.330000,1/18/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76104,1.000000,19.000000,2013.000000,-93.540000,24.500000,1/19/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76105,1.000000,20.000000,2013.000000,-93.660000,24.500000,1/20/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76106,1.000000,21.000000,2013.000000,-95.490000,24.250000,1/21/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76107,1.000000,22.000000,2013.000000,-95.660000,24.210000,1/22/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76108,1.000000,24.000000,2013.000000,-93.450000,24.500000,1/24/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76109,1.000000,25.000000,2013.000000,-94.210000,24.580000,1/25/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76110,1.000000,26.000000,2013.000000,-94.430000,24.710000,1/26/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76111,1.000000,27.000000,2013.000000,-94.220000,24.500000,1/27/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76112,1.000000,29.000000,2013.000000,-95.160000,25.750000,1/29/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76113,1.000000,30.000000,2013.000000,-94.680000,26.000000,1/30/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76114,1.000000,31.000000,2013.000000,-94.170000,25.750000,1/31/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76115,2.000000,1.000000,2013.000000,-95.780000,25.790000,2/1/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76116,2.000000,2.000000,2013.000000,-94.310000,25.750000,2/2/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76117,2.000000,3.000000,2013.000000,-94.110000,25.670000,2/3/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76118,2.000000,4.000000,2013.000000,-95.340000,25.790000,2/4/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76119,2.000000,5.000000,2013.000000,-94.650000,25.920000,2/5/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76120,2.000000,6.000000,2013.000000,-95.280000,25.790000,2/6/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76121,2.000000,7.000000,2013.000000,-94.420000,25.750000,2/7/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76122,2.000000,8.000000,2013.000000,-94.840000,25.790000,2/8/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76123,2.000000,9.000000,2013.000000,-95.260000,25.920000,2/9/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76124,2.000000,10.000000,2013.000000,-94.320000,26.250000,2/10/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76125,2.000000,11.000000,2013.000000,-94.400000,26.500000,2/11/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76126,2.000000,12.000000,2013.000000,-94.970000,26.420000,2/12/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76127,2.000000,13.000000,2013.000000,-94.690000,26.750000,2/13/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76128,2.000000,14.000000,2013.000000,-95.050000,26.670000,2/14/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76129,2.000000,15.000000,2013.000000,-94.490000,27.000000,2/15/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76130,2.000000,16.000000,2013.000000,-94.060000,27.130000,2/16/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76131,2.000000,17.000000,2013.000000,-94.500000,27.210000,2/17/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76132,2.000000,18.000000,2013.000000,-95.370000,27.000000,2/18/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76133,2.000000,19.000000,2013.000000,-95.110000,26.750000,2/19/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76134,2.000000,21.000000,2013.000000,-94.710000,27.000000,2/21/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76135,2.000000,22.000000,2013.000000,-95.160000,27.000000,2/22/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76136,2.000000,23.000000,2013.000000,-94.630000,27.250000,2/23/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76137,2.000000,24.000000,2013.000000,-95.310000,27.250000,2/24/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76138,2.000000,26.000000,2013.000000,-96.860000,26.960000,2/26/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76139,2.000000,28.000000,2013.000000,-95.700000,27.960000,2/28/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76140,3.000000,1.000000,2013.000000,-95.700000,28.000000,3/1/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76141,3.000000,2.000000,2013.000000,-93.690000,28.000000,3/2/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76142,3.000000,3.000000,2013.000000,-94.400000,27.880000,3/3/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76143,3.000000,5.000000,2013.000000,-95.390000,27.880000,3/5/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76144,3.000000,6.000000,2013.000000,-96.410000,27.830000,3/6/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
76145,3.000000,7.000000,2013.000000,-95.320000,27.710000,3/7/2013,511203900,5112039,PAM111P0762,Canada 2012,3,4,1
